category_list, market , funding_total_usd ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Video|Medical|, Video , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,93000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,2200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|, Manufacturing ,18100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Collaboration|Analytics|Software|Project Management|Public Relations|, Public Relations , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|Storage|Databases|Big Data|Analytics|, Software ,10563501 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,6000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,10300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,10000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mens Specific|Mass Customization|Specialty Retail|Fashion|, Mass Customization , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,2000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,63176464 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,6400000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,2000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|Advertising|, Mobile ,17600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media Advertising|Video|Advertising|, Social Media Advertising ,50000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,4549999 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|Email Marketing|Advertising|, Software ,175000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|Television|, Advertising ,99234 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,7706593 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|News|, News ,1075000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Android|Mobile|, Mobile , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,6637111 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprises|Cloud Computing|Security|, Security ,19500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,3010802 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1038955 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Nanotechnology|, Nanotechnology ,7131660 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,82000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,16377078 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Manufacturing|, Manufacturing ,2700000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Education|Software|, Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Auctions|Television|Video|Advertising|, Television ,48500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprise Software|, Enterprise Software ,46168126 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,10000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,225000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|Internet|Semiconductors|, Mobile ,5954000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware|Apps|Mobile|, Apps , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,107500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,777729 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Internet Marketing|Advertising|, Internet Marketing , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|Bio-Pharm|Biotechnology|, Bio-Pharm ,112499480 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Cloud Management|Enterprise Software|, Cloud Management ,22999999 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Semiconductors|, Semiconductors ,4000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Displays|Mobile|Video|Advertising|, Advertising ,10400000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Clean Technology|, Clean Technology ,3750000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,7875598 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,84500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,1099000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,10350000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,550000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Entertainment|Reviews and Recommendations|Semantic Web|Games|, Semantic Web ,24020000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,19670000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprise Software|, Enterprise Software ,24845955 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Public Relations|, Public Relations ,6500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,13200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Collaboration|Enterprises|Software|, Collaboration ,30000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,2400000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,44115160 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Medical|Biotechnology|, Biotechnology , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,7250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Big Data|Analytics|, Big Data ,13000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Finance|, Finance ,20000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Sales and Marketing|Advertising|, Advertising ,1250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Assisitive Technology|Universities|, Assisitive Technology ,1300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|Advertising|, Mobile ,9000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Auctions|Publishing|Advertising|, Publishing ,40400000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Local|Mobile|Social Media|Advertising|, Advertising ,100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,40000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,6500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,2000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|Biotechnology|, Health Care ,34358700 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media|Facebook Applications|Twitter Applications|Advertising|, Facebook Applications ,3500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Displays|Location Based Services|Sales and Marketing|News|Mobile Software Tools|Mobile|Advertising|, Location Based Services ,2940000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,119191000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,10000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Networking|, Networking , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Industrial|Manufacturing|Aerospace|, Industrial , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Entertainment|Ad Targeting|Advertising|, Entertainment ,114000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Email|Mobile|Advertising|, Email , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Ad Targeting|Advertising|, Ad Targeting ,733372 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,1050284 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|Health and Wellness|Personal Health|Fitness|Health Care|, Software ,1800000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|B2B|E-Commerce|, E-Commerce ,3000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|SaaS|Finance|, SaaS ,65839694 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Transportation|Mobility|Mobile|, Mobile ,4160600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,3800000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Email Marketing|Sales and Marketing|Internet Marketing|Social Media Marketing|Social Media|Software|, Social Media ,54493 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Automotive|, Automotive ,10600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,1170000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,1000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Auctions|Trusted Networks|Technology|Internet|Marketplaces|Craigslist Killers|E-Commerce|, Trusted Networks ,110000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Consumer Internet|Data Visualization|Real Estate|Online Rental|Reviews and Recommendations|, Data Visualization ,200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprise Search|Search|, Enterprise Search ,650000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Big Data|Social Buying|Analytics|Social Commerce|E-Commerce|, Social Buying ,725000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Big Data|Analytics|Social Media|Mobile Social|File Sharing|Advertising|, Advertising ,73000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|Health and Wellness|, Health Care ,1240000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprise Software|, Enterprise Software ,2729000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Online Shopping|Gift Card|E-Commerce|, Online Shopping ,1800000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Logistics|Location Based Services|Navigation|Mobile|Enterprise Software|, Mobile ,300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Consulting|, Consulting ,5000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Coupons|E-Commerce|, E-Commerce ,1500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|Sales and Marketing|Advertising|, Sales and Marketing ,3100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,250000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Education|, Education ,505000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|Analytics|Real Time|Mobile|, Mobile , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Optimization|Media|Advertising|Mobile|, Mobile ,12000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,810000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,787000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,3970800 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,29758289 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprise Software|, Enterprise Software ,1015000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Semiconductors|, Semiconductors ,5800000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Optimization|SaaS|Advertising|Software|, Optimization ,1800000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,6000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Semiconductors|, Semiconductors ,43981909 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,2665604 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|iOS|Android|Advertising|, Advertising ,2000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Application Platforms|Ad Targeting|Advertising|, Application Platforms ,5100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media|Curated Web|, Curated Web ,12000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,5500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Media|Outdoors|Advertising|, Outdoors ,20118 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Lead Generation|Advertising|, Lead Generation , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,2500190 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Local|Business Services|Home & Garden|Computers|Marketplaces|Advertising|Cars|Discounts|Property Management|Auctions|Classifieds|Wholesale|E-Commerce|, Computers , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|Classifieds|Advertising|, E-Commerce ,720000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Media|Software|Internet|Advertising|, Media ,5500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Cloud Computing|Real Time|Classifieds|Advertising|, Real Time ,328000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,5300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,470000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Design|Image Recognition|Audio|Video|All Markets|Creative|Advertising|, Advertising ,81874 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health and Wellness|, Health and Wellness ,300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Medical Devices|Health Care|, Medical Devices ,2350000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,1600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,2246171 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,1500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,4035000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,2000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Video|Classifieds|Curated Web|, Classifieds ,10000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,6731042 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,23000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,2900000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Facebook Applications|Games|, Games ,2539200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,2649402 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,458912 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,27000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising Platforms|Ad Targeting|Advertising|, Advertising Platforms ,2200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Fashion|, Fashion ,40000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Coupons|Local Based Services|Network Security|Local Advertising|Advertising|, Local Based Services ,100000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,39682384 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|Advertising|, Mobile ,4000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|Publishing|Internet|, Publishing ,34623 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|, Mobile ,1600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Travel|, Travel ,355000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Real Estate|, Real Estate ,25000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,1550000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|New Technologies|Social Innovation|Big Data|Predictive Analytics|Semiconductors|, Big Data ,5600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Media|CRM|Twitter Applications|Facebook Applications|Social Media|Advertising|, Advertising ,3301958 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Analytics|, Analytics ,253000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Marketplaces|DOD/Military|Internet|Mobile|E-Commerce|, Marketplaces ,256000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Weddings|Facebook Applications|Software|Technology|Medical|Enterprise Software|, Medical ,550000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Publishing|Internet|Marketplaces|Advertising|, Internet ,6500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Apps|Tracking|Analytics|Mobile|, Mobile ,11900000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,43000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Twitter Applications|Facebook Applications|Content Discovery|Mobile Games|Mobile|Video|Apps|Social Media|Sales and Marketing|Advertising|, Mobile Games ,248000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|, Software ,1540000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8180000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,307954 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Search|Social Media|Local|Mobile|Discounts|Advertising|, Social Media ,1500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Enterprise Software|Advertising|, Enterprise Software , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media|, Social Media ,7500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,8300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,41500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Video|Direct Marketing|Analytics|Internet Marketing|Social Commerce|Social Media|Advertising|, Video ,1368157 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Auctions|Creative|Advertising|, Creative ,6544400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Big Data Analytics|Search Marketing|Marketing Automation|Digital Media|E-Commerce|, Search Marketing , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,474063 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|Advertising|, E-Commerce ,600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Sales and Marketing|Displays|Advertising|, Sales and Marketing ,2540206 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Auctions|Software|Advertising|, Auctions ,30000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Real Time|Optimization|Internet|Advertising|, Internet ,5000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Retail|Digital Signage|Advertising|, Digital Signage , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,465000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,367645000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|E-Commerce|, Advertising ,26000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Publishing|E-Commerce|Social Network Media|Advertising|Social Media|, Publishing ,600000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,469008 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Archiving|Image Recognition|Intellectual Asset Management|RIM|Information Technology|Consulting|, RIM ,2300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Education|, Education ,85000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Security|, Security ,19000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Colleges|Social Media|Education|Curated Web|, Social Media ,402500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Health Care|, Health Care ,1990000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Education|, Education ,1240000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Services|Databases|Software|Information Technology|, Databases ,19311 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Mobile|Advertising|, Advertising ,46800000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Software|Hardware|SEO|Apps|Cars|Technology|Media|Advertising|, Advertising ,2200000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,5000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Real Time|Mobile|Advertising|, Real Time ,3850000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,7588201 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Big Data Analytics|Location Based Services|Ad Targeting|Mobile Advertising|Media|Advertising|Big Data|Analytics|, Mobile Advertising ,25500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Virtual Goods|Advertising|, Advertising , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,42500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Biotechnology|, Biotechnology ,37079200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media|Networking|Blogging Platforms|Web Hosting|, Social Media ,500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Displays|Analytics|Software|Advertising|, Displays ,29125000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|Analytics|Displays|Software|, Displays ,450000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,1700000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|, Advertising ,1300000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Messaging|, Messaging ,22000000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Hardware + Software|, Hardware + Software ,2195355 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Advertising|Digital Media|, Digital Media ,936776 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Social Media|Social Commerce|News|, Social Commerce ,56464869 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Fashion|, Fashion ,11500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|Online Scheduling|, Online Scheduling ,69247 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
|E-Commerce|, E-Commerce ,16500000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
